"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1980","User login with wrong or password","tests.authentification","Fri Apr 17 10:44:30 UTC 2026","passed","Fri Apr 17 10:44:32 UTC 2026","TestAuthorization","test_autorization","",""
"","1693","User login with wrong or password","tests.authentification","Fri Apr 17 10:44:32 UTC 2026","passed","Fri Apr 17 10:44:34 UTC 2026","TestAuthorization","test_autorization","",""
"","0","Creck edit course","tests.courses","Fri Apr 17 10:44:37 UTC 2026","broken","Fri Apr 17 10:44:37 UTC 2026","TestCourses","test_courses","",""
"","1540","Navigation from login page to registration page","tests.authentification","Fri Apr 17 10:44:34 UTC 2026","passed","Fri Apr 17 10:44:36 UTC 2026","TestAuthorization","test_autorization","",""
"","0","Create course","tests.courses","Fri Apr 17 10:44:37 UTC 2026","broken","Fri Apr 17 10:44:37 UTC 2026","TestCourses","test_courses","",""
"","1792","Registration with correct email, username, password","tests.authentification","Fri Apr 17 10:44:35 UTC 2026","passed","Fri Apr 17 10:44:37 UTC 2026","TestRegistration","test_regestration","",""
"","0","Check displaying of empty courses list","tests.courses","Fri Apr 17 10:44:36 UTC 2026","broken","Fri Apr 17 10:44:36 UTC 2026","TestCourses","test_courses","",""
"","3266","User login with correct email and password","tests.authentification","Fri Apr 17 10:44:30 UTC 2026","passed","Fri Apr 17 10:44:33 UTC 2026","TestAuthorization","test_autorization","",""
"","1579","User login with wrong or password","tests.authentification","Fri Apr 17 10:44:33 UTC 2026","passed","Fri Apr 17 10:44:35 UTC 2026","TestAuthorization","test_autorization","",""
"","0","Check displaying of dashboard page","tests.dashboard","Fri Apr 17 10:44:39 UTC 2026","broken","Fri Apr 17 10:44:39 UTC 2026","TestDashboard","test_dashboard","",""
"","0","test_regression","tests.pytest","Fri Apr 17 10:44:38 UTC 2026","passed","Fri Apr 17 10:44:38 UTC 2026","","test_marcers","",""
