"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","0","Create course","tests.courses","Fri Apr 17 09:56:10 UTC 2026","broken","Fri Apr 17 09:56:10 UTC 2026","TestCourses","test_courses","",""
"","0","Check displaying of empty courses list","tests.courses","Fri Apr 17 09:56:09 UTC 2026","broken","Fri Apr 17 09:56:09 UTC 2026","TestCourses","test_courses","",""
"","1730","Registration with correct email, username, password","tests.authentification","Fri Apr 17 09:56:08 UTC 2026","passed","Fri Apr 17 09:56:10 UTC 2026","TestRegistration","test_regestration","",""
"","0","Check displaying of dashboard page","tests.dashboard","Fri Apr 17 09:56:12 UTC 2026","broken","Fri Apr 17 09:56:12 UTC 2026","TestDashboard","test_dashboard","",""
"","0","test_regression","tests.pytest","Fri Apr 17 09:56:11 UTC 2026","passed","Fri Apr 17 09:56:11 UTC 2026","","test_marcers","",""
"","0","Creck edit course","tests.courses","Fri Apr 17 09:56:11 UTC 2026","broken","Fri Apr 17 09:56:11 UTC 2026","TestCourses","test_courses","",""
"","1529","Navigation from login page to registration page","tests.authentification","Fri Apr 17 09:56:07 UTC 2026","passed","Fri Apr 17 09:56:09 UTC 2026","TestAuthorization","test_autorization","",""
"","3509","User login with correct email and password","tests.authentification","Fri Apr 17 09:56:03 UTC 2026","passed","Fri Apr 17 09:56:06 UTC 2026","TestAuthorization","test_autorization","",""
"","1814","User login with wrong or password","tests.authentification","Fri Apr 17 09:56:05 UTC 2026","passed","Fri Apr 17 09:56:07 UTC 2026","TestAuthorization","test_autorization","",""
"","1630","User login with wrong or password","tests.authentification","Fri Apr 17 09:56:07 UTC 2026","passed","Fri Apr 17 09:56:08 UTC 2026","TestAuthorization","test_autorization","",""
"","1937","User login with wrong or password","tests.authentification","Fri Apr 17 09:56:03 UTC 2026","passed","Fri Apr 17 09:56:05 UTC 2026","TestAuthorization","test_autorization","",""
