"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","2090","Registration with correct email, username, password","tests.authentification","Fri Apr 17 10:05:21 UTC 2026","passed","Fri Apr 17 10:05:23 UTC 2026","TestRegistration","test_regestration","",""
"","1861","User login with wrong or password","tests.authentification","Fri Apr 17 10:05:18 UTC 2026","passed","Fri Apr 17 10:05:19 UTC 2026","TestAuthorization","test_autorization","",""
"","1679","Navigation from login page to registration page","tests.authentification","Fri Apr 17 10:05:20 UTC 2026","passed","Fri Apr 17 10:05:21 UTC 2026","TestAuthorization","test_autorization","",""
"","0","Create course","tests.courses","Fri Apr 17 10:05:23 UTC 2026","broken","Fri Apr 17 10:05:23 UTC 2026","TestCourses","test_courses","",""
"","0","Creck edit course","tests.courses","Fri Apr 17 10:05:23 UTC 2026","broken","Fri Apr 17 10:05:23 UTC 2026","TestCourses","test_courses","",""
"","0","test_regression","tests.pytest","Fri Apr 17 10:05:24 UTC 2026","passed","Fri Apr 17 10:05:24 UTC 2026","","test_marcers","",""
"","2063","User login with wrong or password","tests.authentification","Fri Apr 17 10:05:15 UTC 2026","passed","Fri Apr 17 10:05:17 UTC 2026","TestAuthorization","test_autorization","",""
"","0","Check displaying of dashboard page","tests.dashboard","Fri Apr 17 10:05:25 UTC 2026","broken","Fri Apr 17 10:05:25 UTC 2026","TestDashboard","test_dashboard","",""
"","0","Check displaying of empty courses list","tests.courses","Fri Apr 17 10:05:21 UTC 2026","broken","Fri Apr 17 10:05:21 UTC 2026","TestCourses","test_courses","",""
"","1723","User login with wrong or password","tests.authentification","Fri Apr 17 10:05:19 UTC 2026","passed","Fri Apr 17 10:05:21 UTC 2026","TestAuthorization","test_autorization","",""
"","3600","User login with correct email and password","tests.authentification","Fri Apr 17 10:05:15 UTC 2026","passed","Fri Apr 17 10:05:19 UTC 2026","TestAuthorization","test_autorization","",""
